
Date,Value
21-04-21,56507.91
20-04-21,55703.14
19-04-21,56251.48
18-04-21,60087.09
17-04-21,61455.98
16-04-21,63252.63
15-04-21,62969.12
14-04-21,63554.44
13-04-21,59834.74
12-04-21,59964.87
11-04-21,59774
10-04-21,58102.58
09-04-21,58048.59
08-04-21,55947.27
07-04-21,58020.46
06-04-21,59054.1
05-04-21,58206.55
04-04-21,57076.49
03-04-21,59031.32
02-04-21,58736.92
01-04-21,58735.25
31-03-21,58730.13
30-03-21,57627.67
29-03-21,55783.71
28-03-21,55863.93
27-03-21,55074.47
26-03-21,51415.92
25-03-21,52508.23
24-03-21,54477.46
23-03-21,54204.96
22-03-21,57411.17
21-03-21,58085.8
20-03-21,58075.1
19-03-21,57665.9
18-03-21,58913
17-03-21,56872.38
16-03-21,55754.72
15-03-21,59133.47
14-03-21,61258.73
13-03-21,57253.28
12-03-21,57764
11-03-21,55997.23
10-03-21,54881.52
09-03-21,52299.33
08-03-21,51169.7
07-03-21,48881.59
06-03-21,48861.38
05-03-21,48448.91
04-03-21,50477.7
03-03-21,48356.04
02-03-21,49618.43
01-03-21,45113.92
28-02-21,46155.87
27-02-21,46340.31
26-02-21,46800.42
25-02-21,50624.84
24-02-21,48880.43
23-02-21,54123.4
22-02-21,57487.86
21-02-21,56001.2
20-02-21,55916.5
19-02-21,51608.15
18-02-21,52118.23
17-02-21,49160.1
16-02-21,47951.85
15-02-21,48720.37
14-02-21,47185.19
13-02-21,47471.4
12-02-21,48013.38
11-02-21,44878.17
10-02-21,46589.58
09-02-21,46364.3
08-02-21,38928.1
07-02-21,39323.26
06-02-21,38278.61
05-02-21,37002.09
04-02-21,37676.25
03-02-21,35529.66
02-02-21,33522.9
01-02-21,33136.46
31-01-21,34318.1
30-01-21,34314.26
29-01-21,33403.17
28-01-21,30419.17
27-01-21,32541.8
26-01-21,32243.26
25-01-21,32276.84
24-01-21,32099.74
23-01-21,33002.38
22-01-21,30797.88
21-01-21,35538.98
20-01-21,36020.13
19-01-21,36632.35
18-01-21,35793.01
17-01-21,36065.2
16-01-21,36828.52
15-01-21,39158.47
14-01-21,37393.13
13-01-21,34011.82
12-01-21,35544.94
11-01-21,38240.09
10-01-21,40240.72
09-01-21,40670.25
08-01-21,39486.04
07-01-21,36860.41
06-01-21,34046.67
05-01-21,32035.03
04-01-21,33000.78
03-01-21,32195.46
02-01-21,29393.75
01-01-21,28982.56
31-12-20,28856.59
30-12-20,27376.37
29-12-20,27036.69
28-12-20,26246.58
27-12-20,26443.21
26-12-20,24693.58
25-12-20,23715.53
24-12-20,23253.37
23-12-20,23824.99
22-12-20,22745.48
21-12-20,23490.58
20-12-20,23869.92
19-12-20,23150.79
18-12-20,22847.46
17-12-20,21379.48
16-12-20,19439.75
15-12-20,19276.59
14-12-20,19164.48
13-12-20,18803.44
12-12-20,18029.36
11-12-20,18247.76
10-12-20,18554.15
09-12-20,18318.87
08-12-20,19181.41
07-12-20,19377.66
06-12-20,19155.06
05-12-20,18670.49
04-12-20,19454.54
03-12-20,19226.97
02-12-20,18792.52
01-12-20,19709.73
30-11-20,18191.6
29-11-20,17732.42
28-11-20,17138.87
27-11-20,17151.44
26-11-20,18739.8
25-11-20,19172.52
24-11-20,18398.91
23-11-20,18422.28
22-11-20,18699.75
21-11-20,18687.45
20-11-20,17820.57
19-11-20,17798.45
18-11-20,17679.72
17-11-20,16725.15
16-11-20,15968.16
15-11-20,16091.07
14-11-20,16339.33
13-11-20,16295.57
12-11-20,15708.65
11-11-20,15317.04
10-11-20,15328.53
09-11-20,15490.6
08-11-20,14839.84
07-11-20,15595.77
06-11-20,15591.39
05-11-20,14155.59
04-11-20,14023.31
03-11-20,13575.17
02-11-20,13758.88
01-11-20,13810.32
31-10-20,13564.72
30-10-20,13458.66
29-10-20,13289
28-10-20,13651.47
27-10-20,13076.37
26-10-20,13036.77
25-10-20,13128.46
24-10-20,12944.52
23-10-20,12990.25
22-10-20,12831.56
21-10-20,11925.46
20-10-20,11758.16
19-10-20,11508.2
18-10-20,11366.51
17-10-20,11327.57
16-10-20,11503.73
15-10-20,11431.32
14-10-20,11428.24
13-10-20,11540.04
12-10-20,11376.61
11-10-20,11302.67
10-10-20,11063.19
09-10-20,10923.3
08-10-20,10670.8
07-10-20,10603.74
06-10-20,10788.56
05-10-20,10673.46
04-10-20,10551.77
03-10-20,10575.06
02-10-20,10619.24
01-10-20,10777.92
30-09-20,10840.8
29-09-20,10692.33
28-09-20,10774.24
27-09-20,10732.4
26-09-20,10692.84
25-09-20,10732.43
24-09-20,10234.48
23-09-20,10532.22
22-09-20,10430.46
21-09-20,10919.65
20-09-20,11081.43
19-09-20,10931.79
18-09-20,10943.89
17-09-20,10948.43
16-09-20,10785.62
15-09-20,10674.64
14-09-20,10330.77
13-09-20,10446.44
12-09-20,10395.44
11-09-20,10352.66
10-09-20,10227.83
09-09-20,10121.52
08-09-20,10367.74
07-09-20,10254.93
06-09-20,10159.62
05-09-20,10467.89
04-09-20,10187.51
03-09-20,11397.44
02-09-20,11923.25
01-09-20,11659.57
31-08-20,11707.78
30-08-20,11481.64
29-08-20,11534.75
28-08-20,11302.01
27-08-20,11467.37
26-08-20,11337.4
25-08-20,11763.93
24-08-20,11653.02
23-08-20,11683.44
22-08-20,11522.8
21-08-20,11865.82
20-08-20,11734
19-08-20,11969.53
18-08-20,12293.72
17-08-20,11914.01
16-08-20,11873.98
15-08-20,11774.38
14-08-20,11777.43
13-08-20,11573.11
12-08-20,11392.43
11-08-20,11893.03
10-08-20,11684.06
09-08-20,11767.6
08-08-20,11605.6
07-08-20,11772.94
06-08-20,11750.28
05-08-20,11194.25
04-08-20,11242.57
03-08-20,11077.77
02-08-20,11823.69
01-08-20,11343.88
31-07-20,11114.93
30-07-20,11102.67
29-07-20,10934.94
28-07-20,11042.4
27-07-20,9938.83
26-07-20,9707.5
25-07-20,9551.28
24-07-20,9613.11
23-07-20,9537.4
22-07-20,9392.66
21-07-20,9163.87
20-07-20,9214.66
19-07-20,9174.71
18-07-20,9154.19
17-07-20,9131
16-07-20,9193.51
15-07-20,9254.52
14-07-20,9238.13
13-07-20,9295.9
12-07-20,9235.96
11-07-20,9287.4
10-07-20,9238.04
09-07-20,9440.07
08-07-20,9256.23
07-07-20,9348.91
06-07-20,9089.09
05-07-20,9131.31
04-07-20,9072.42
03-07-20,9087.98
02-07-20,9236.38
01-07-20,9133.97
30-06-20,9185.35
29-06-20,9127.47
28-06-20,9004.23
27-06-20,9154.45
26-06-20,9240.85
25-06-20,9276.58
24-06-20,9621.49
23-06-20,9691.9
22-06-20,9284.78
21-06-20,9357.43
20-06-20,9300.15
19-06-20,9380.03
18-06-20,9454.81
17-06-20,9526
16-06-20,9426.7
15-06-20,9330.07
14-06-20,9473.5
13-06-20,9459.97
12-06-20,9286.42
11-06-20,9892.13
10-06-20,9775.15
09-06-20,9782.59
08-06-20,9753.85
07-06-20,9670.43
06-06-20,9623.75
05-06-20,9794.56
04-06-20,9658.04
03-06-20,9525.57
02-06-20,10204.23
01-06-20,9450.84
31-05-20,9698.1
30-05-20,9425.98
29-05-20,9569.21
28-05-20,9197.54
27-05-20,8842.85
26-05-20,8899.66
25-05-20,8730.73
24-05-20,9178.32
23-05-20,9167.26
22-05-20,9057.57
21-05-20,9510.67
20-05-20,9785.74
19-05-20,9719.37
18-05-20,9669.4
17-05-20,9385.7
16-05-20,9303.59
15-05-20,9790.31
14-05-20,9305.93
13-05-20,8814.53
12-05-20,8617.25
11-05-20,8754.46
10-05-20,9527.39
09-05-20,9821.8
08-05-20,10002.48
07-05-20,9170.79
06-05-20,9030.96
05-05-20,8885.93
04-05-20,8903.95
03-05-20,8973.82
02-05-20,8824.66
01-05-20,8628.77
30-04-20,8777.63
29-04-20,7765.33
28-04-20,7790.66
27-04-20,7699.27
26-04-20,7549.52
25-04-20,7507.08
24-04-20,7477.6
23-04-20,7130.99
22-04-20,6852.52
21-04-20,6840.24
20-04-20,7130.04
19-04-20,7259.36
18-04-20,7034.89
17-04-20,7112.27
16-04-20,6623.8
15-04-20,6871.95
14-04-20,6857.66
13-04-20,6915.37
12-04-20,6891.6
11-04-20,6873.24
10-04-20,7293.69
09-04-20,7365.03
08-04-20,7205.55
07-04-20,7343.2
06-04-20,6777.44
05-04-20,6871.69
04-04-20,6741.67
03-04-20,6809.11
02-04-20,6652.87
01-04-20,6428.28
31-03-20,6405.29
30-03-20,5885.41
29-03-20,6260.95
28-03-20,6369.09
27-03-20,6763.75
26-03-20,6698.46
25-03-20,6768.49
24-03-20,6502.16
23-03-20,5822.62
22-03-20,6189.85
21-03-20,6226.44
20-03-20,6195.2
19-03-20,5410.23
18-03-20,5357.61
17-03-20,5026.35
16-03-20,5348.44
15-03-20,5166.26
14-03-20,5609.03
13-03-20,4830.21
12-03-20,7936.65
11-03-20,7885.46
10-03-20,7931.94
09-03-20,8039.38
08-03-20,8898.63
07-03-20,9155.89
06-03-20,9067.39
05-03-20,8758.9
04-03-20,8754.34
03-03-20,8912.82
02-03-20,8912.82
01-03-20,8534.17
29-02-20,8712.35
28-02-20,8804.72
27-02-20,8785.52
26-02-20,9309.15
25-02-20,9663.75
24-02-20,9989.39
23-02-20,9669.63
22-02-20,9696.58
21-02-20,9606.86
20-02-20,9604.72
19-02-20,10180.65
18-02-20,9703.93
17-02-20,9937.67
16-02-20,9904.17
15-02-20,10368.53
14-02-20,10242.43
13-02-20,10354.3
12-02-20,10275.38
11-02-20,9854.79
10-02-20,10162.41
09-02-20,9907.12
08-02-20,9807.54
07-02-20,9755.66
06-02-20,9614.9
05-02-20,9162.14
04-02-20,9162.14
03-02-20,9314.56
02-02-20,9378.09
01-02-20,9333.77
31-01-20,9502.37
30-01-20,9279.81
29-01-20,9385.69
28-01-20,8895.78
27-01-20,8588.42
26-01-20,8327.36
25-01-20,8428.17
24-01-20,8388.11
23-01-20,8658.94
22-01-20,8722.26
21-01-20,8626.47
20-01-20,8703.36
19-01-20,8910.85
18-01-20,8900.34
17-01-20,8722.03
16-01-20,8813.89
15-01-20,8842.42
14-01-20,8105.24
13-01-20,8173.97
12-01-20,8021.49
11-01-20,8184.66
10-01-20,7817.92
09-01-20,8042.65
08-01-20,8165.47
07-01-20,7759.24
06-01-20,7351.57
05-01-20,7347.89
04-01-20,7326.35
03-01-20,6944.33
02-01-20,7175.68
01-01-20,7168.31
31-12-19,7219.6
30-12-19,7385.36
29-12-19,7301.07
28-12-19,7243.93
27-12-19,7194.4
26-12-19,7192.72
25-12-19,7250.69
24-12-19,7322.08
23-12-19,7514.41
22-12-19,7143.2
21-12-19,7190.17
20-12-19,7150.86
19-12-19,7284.29
18-12-19,6612.12
17-12-19,6879.54
16-12-19,7111.14
15-12-19,7067.74
14-12-19,7251.87
13-12-19,7189.16
12-12-19,7202.31
11-12-19,7220.76
10-12-19,7337.42
09-12-19,7522.39
08-12-19,7504.83
07-12-19,7547.19
06-12-19,7395.97
05-12-19,7192.85
04-12-19,7296.77
03-12-19,7309.59
02-12-19,7402.69
01-12-19,7557.72
30-11-19,7757.47
29-11-19,7431
28-11-19,7523.83
27-11-19,7163.63
26-11-19,7130.25
25-11-19,6907.4
24-11-19,7324.03
23-11-19,7286.35
22-11-19,7617.07
21-11-19,8081.81
20-11-19,8120.8
19-11-19,8175.99
18-11-19,8503.93
17-11-19,8482.7
16-11-19,8457.69
15-11-19,8632.32
14-11-19,8762.42
13-11-19,8801.52
12-11-19,8717.81
11-11-19,9037.12
10-11-19,8809.41
09-11-19,8766.04
08-11-19,9204.24
07-11-19,9343.34
06-11-19,9310.19
05-11-19,9418.05
04-11-19,9206.16
03-11-19,9301.18
02-11-19,9252.99
01-11-19,9147.98
31-10-19,9164.62
30-10-19,9433.35
29-10-19,9218.76
28-10-19,9551.54
27-10-19,9259.8
26-10-19,8666.79
25-10-19,7431.88
24-10-19,7469.56
23-10-19,8026.76
22-10-19,8222.52
21-10-19,8231.06
20-10-19,7960.04
19-10-19,7954.15
18-10-19,8076.78
17-10-19,8002.51
16-10-19,8162.16
15-10-19,8353.54
14-10-19,8283.76
13-10-19,8308.01
12-10-19,8269.73
11-10-19,8586.9
10-10-19,8587.92
09-10-19,8190
08-10-19,8212.02
07-10-19,7869.74
06-10-19,8147.69
05-10-19,8155.48
04-10-19,8236.17
03-10-19,8382.03
02-10-19,8322.92
01-10-19,8307.74
30-09-19,8056.74
29-09-19,8225
28-09-19,8193.9
27-09-19,8055.64
26-09-19,8432.23
25-09-19,8553.61
24-09-19,9683.38
23-09-19,10033.05
22-09-19,9979.49
21-09-19,10173.11
20-09-19,10275.88
19-09-19,10157.59
18-09-19,10190.36
17-09-19,10265.63
16-09-19,10310.43
15-09-19,10361.33
14-09-19,10363.9
13-09-19,10420.16
12-09-19,10159.32
11-09-19,10101.03
10-09-19,10313.66
09-09-19,10406.31
08-09-19,10487.21
07-09-19,10317.47
06-09-19,10577.8
05-09-19,10584.16
04-09-19,10621.29
03-09-19,10386.64
02-09-19,9769.79
01-09-19,9600.9
31-08-19,9577.99
30-08-19,9484.55
29-08-19,9717.82
28-08-19,10171.95
27-08-19,10360.28
26-08-19,10135.06
25-08-19,10143.8
24-08-19,10405.81
23-08-19,10111.98
22-08-19,10129.4
21-08-19,10760.56
20-08-19,10917.26
19-08-19,10317.6
18-08-19,10214.52
17-08-19,10359.44
16-08-19,10302.17
15-08-19,10016.96
14-08-19,10858.12
13-08-19,11386.26
12-08-19,11566.84
11-08-19,11282.22
10-08-19,11856.64
09-08-19,11996.41
08-08-19,11960.82
07-08-19,11465.67
06-08-19,11787.99
05-08-19,10980.23
04-08-19,10814.57
03-08-19,10529.55
02-08-19,10407.17
01-08-19,10084.7
31-07-19,9589.13
30-07-19,9501.33
29-07-19,9530
28-07-19,9473.99
27-07-19,9848.65
26-07-19,9875.17
25-07-19,9772.17
24-07-19,9844.3
23-07-19,10323.62
22-07-19,10587.41
21-07-19,10764.9
20-07-19,10535.75
19-07-19,10638.56
18-07-19,9674.28
17-07-19,9397.72
16-07-19,10873.5
15-07-19,10186.96
14-07-19,11389.1
13-07-19,11803.97
12-07-19,11352.87
11-07-19,12099.9
10-07-19,12586.78
09-07-19,12313.08
08-07-19,11477.01
07-07-19,11232.04
06-07-19,10955.16
05-07-19,11160.49
04-07-19,11984.76
03-07-19,10805.4
02-07-19,10578.72
01-07-19,10737.73
30-06-19,11890.38
29-06-19,12374.35
28-06-19,11132.85
27-06-19,12932.55
26-06-19,11766.4
25-06-19,11017.5
24-06-19,10814.48
23-06-19,10668.63
22-06-19,10209.38
21-06-19,9531.35
20-06-19,9281.7
19-06-19,9076.18
18-06-19,9327.48
17-06-19,8978.99
16-06-19,8859.47
15-06-19,8693.6
14-06-19,8237.88
13-06-19,8173.06
12-06-19,7917.58
11-06-19,8020.38
10-06-19,7640.61
09-06-19,7931.34
08-06-19,7998.29
07-06-19,7803.23
06-06-19,7786.04
05-06-19,7675.8
04-06-19,8134.92
03-06-19,8739.03
02-06-19,8554.8
01-06-19,8553.81
31-05-19,8272.46
30-05-19,8662.98
29-05-19,8719.88
28-05-19,8770.06
27-05-19,8744.42
26-05-19,8071.45
25-05-19,8003.26
24-05-19,7880.29
23-05-19,7625.93
22-05-19,7952.5
21-05-19,8007.03
20-05-19,8193.7
19-05-19,7265.05
18-05-19,7362.22
17-05-19,7885.96
16-05-19,8206.9
15-05-19,7992.69
14-05-19,7823.11
13-05-19,6978.63
12-05-19,7248.31
11-05-19,6348.02
10-05-19,6146.91
09-05-19,5936.72
08-05-19,5755.72
07-05-19,5684.47
06-05-19,5717.66
05-05-19,5771.08
04-05-19,5657.14
03-05-19,5390.16
02-05-19,5326.67
01-05-19,5269.79
30-04-19,5260.65
29-04-19,5301.29
28-04-19,5280.19
27-04-19,5292.83
26-04-19,5195.61
25-04-19,5434.19
24-04-19,5518.16
23-04-19,5377.19
22-04-19,5281.83
21-04-19,5309.28
20-04-19,5277.04
19-04-19,5276.31
18-04-19,5220.37
17-04-19,5196.65
16-04-19,5036.18
15-04-19,5152.51
14-04-19,5064.62
13-04-19,5072.85
12-04-19,5035.02
11-04-19,5310.18
10-04-19,5175.81
09-04-19,5268.71
08-04-19,5189.39
07-04-19,5053.52
06-04-19,5028.77
05-04-19,4911.24
04-04-19,4959.81
03-04-19,4882.88
02-04-19,4152.53
01-04-19,4114.16
31-03-19,4114.44
30-03-19,4115.55
29-03-19,4037.37
28-03-19,4048.51
27-03-19,3947.74
26-03-19,3935.89
25-03-19,3994.11
24-03-19,4011.92
23-03-19,3999.06
22-03-19,3992.34
21-03-19,4056.4
20-03-19,4029.11
19-03-19,3998.77
18-03-19,3994.92
17-03-19,4015.95
16-03-19,3936.5
15-03-19,3885.21
14-03-19,3877.77
13-03-19,3892.51
12-03-19,3881.09
11-03-19,3928.17
10-03-19,3950.56
09-03-19,3875.96
08-03-19,3886.82
07-03-19,3876.85
06-03-19,3872.25
05-03-19,3730.98
04-03-19,3814.58
03-03-19,3831.44
02-03-19,3834.62
01-03-19,3850.08
28-02-19,3833.23
27-02-19,3831.45
26-02-19,3848.33
25-02-19,3766.89
24-02-19,4139.6
23-02-19,3983.48
22-02-19,3944.88
21-02-19,3987.18
20-02-19,3926.53
19-02-19,3910.8
18-02-19,3670.74
17-02-19,3619.55
16-02-19,3608.2
15-02-19,3600.31
14-02-19,3614.5
13-02-19,3632.42
12-02-19,3629.47
11-02-19,3686.29
10-02-19,3664.38
09-02-19,3661.08
08-02-19,3394.76
07-02-19,3405.7
06-02-19,3467.34
05-02-19,3452.35
04-02-19,3456.02
03-02-19,3506.22
02-02-19,3475.33
01-02-19,3444.81
31-01-19,3470
30-01-19,3421.6
29-01-19,3448.58
28-01-19,3554.5
27-01-19,3576.3
26-01-19,3577.79
25-01-19,3586.25
24-01-19,3566.4
23-01-19,3587.35
22-01-19,3540.02
21-01-19,3548.4275
20-01-19,3703.98
19-01-19,3690.523333
18-01-19,3632.395
17-01-19,3621.43
16-01-19,3621.270833
15-01-19,3656.785
14-01-19,3531.96
13-01-19,3599.841667
12-01-19,3646.345833
11-01-19,3646.25
10-01-19,3812.585833
09-01-19,4034.138333
08-01-19,4032.25
07-01-19,4036.093333
06-01-19,3920.456667
05-01-19,3856.62
04-01-19,3822.626667
03-01-19,3865.7975
02-01-19,3855.88
01-01-19,3752.271667
31-12-18,3791.545833
30-12-18,3770.36
29-12-18,3912.285833
28-12-18,3743.905
27-12-18,3848.21
26-12-18,3825.379167
25-12-18,3813.88
24-12-18,3995.17
23-12-18,4027.478333
22-12-18,3910.973333
21-12-18,4135.19
20-12-18,3982.850833
19-12-18,3808.0425
18-12-18,3556.54
17-12-18,3392.405
16-12-18,3271.238333
15-12-18,3242.42
14-12-18,3278.374167
13-12-18,3406.7625
12-12-18,3407.28
11-12-18,3426.19
10-12-18,3523.96
09-12-18,3453.66
08-12-18,3435.34
07-12-18,3405.643333
06-12-18,3744.98
05-12-18,3858.349167
04-12-18,3961.493333
03-12-18,4140.6
02-12-18,4167.546667
01-12-18,4116.7775
30-11-18,4278.77
29-11-18,4263.783333
28-11-18,4103.453846
27-11-18,3793.35
26-11-18,3920.536667
25-11-18,3823.511667
24-11-18,4352.98
23-11-18,4309.3375
22-11-18,4548.7975
21-11-18,4491.98
20-11-18,4671.97
19-11-18,5303.9425
18-11-18,5572.44
17-11-18,5558.243333
16-11-18,5596.1925
15-11-18,5756.77
14-11-18,6176.155
13-11-18,6372.063333
12-11-18,6408.53
11-11-18,6378.268333
10-11-18,6399.033333
09-11-18,6444.97
08-11-18,6486.251667
07-11-18,6538.79
06-11-18,6437.76
05-11-18,6436.965
04-11-18,6391.873333
03-11-18,6390.42
02-11-18,6387.674167
01-11-18,6342.280833
31-10-18,6301.61
30-10-18,6309.452857
29-10-18,6382.668333
28-10-18,6457.21
27-10-18,6465.9175
26-10-18,6473.753333
25-10-18,6489.77
24-10-18,6508.31
23-10-18,6481.426
22-10-18,6504.78
21-10-18,6531.601667
20-10-18,6488.825833
19-10-18,6509.61
18-10-18,6568.040769
17-10-18,6596.276154
16-10-18,6599.17
15-10-18,6452.571667
14-10-18,6299.399167
13-10-18,6247
12-10-18,6260.530833
11-10-18,6248.635833
10-10-18,6626.85
09-10-18,6621.711667
08-10-18,6618.567692
07-10-18,6573.62
06-10-18,6581.486667
05-10-18,6568.549167
04-10-18,6483.73
03-10-18,6470.4025
02-10-18,6562.641667
01-10-18,6611.02
30-09-18,6593.135
29-09-18,6550.474167
28-09-18,6686.08
27-09-18,6535.476667
26-09-18,6468.631667
25-09-18,6583.45
24-09-18,6639.304167
23-09-18,6710.445
22-09-18,6756.12
21-09-18,6669.990833
20-09-18,6418.562667
19-09-18,6342.39
18-09-18,6296.631667
17-09-18,6400.600833
16-09-18,6522.39
15-09-18,6518.655
14-09-18,6499.0625
13-09-18,6326.04
12-09-18,6273.1375
11-09-18,6296.320833
10-09-18,6240.98
